"pkmnFormId","pkmnSpeciesId","orderNum","name","formName","formTypeId","regionId","isDefault","isBattleOnly","isCosmetic","isEvent","isSexuallyDimorphic","isSpecial","typeId1","typeId2","hp","att","def","spAtt","spDef","spd","specialStat","height","weight","generationId","genderRatioId","colorId","shapeId","abilityId1","abilityId2","abilityIdHidden","eggGroupId1","eggGroupId2","category","friendship","exp","hpEVs","attEVs","defEVs","spAttEVs","spDefEVs","spdEVs","friendAreaId","isGigantic","pSpeed","pPower","pSkill","pStamina","pJump","pokeAPIId","pokeAPIPokemonId"
"1","1","0","Bulbasaur",NULL,NULL,NULL,"1","0","0","0","0","0","12","4","45","49","49","65","65","45","65","7","69","1","7","5","8","65",NULL,"34","1","7","Seed","50","64","0","0","0","1","0","0","80","0","2,2,3","2,2,3","1,3,4","1,3,4","3,3,3","1","1"
"2","2","0","Ivysaur",NULL,NULL,NULL,"1","0","0","0","0","0","12","4","60","62","63","80","80","60","80","10","130","1","7","5","8","65",NULL,"34","1","7","Seed","50","142","0","0","0","1","1","0","80","0","2,2,2","1,2,3","2,4,5","2,4,5","3,3,3","2","2"
"3","3","0","Venusaur",NULL,NULL,NULL,"1","0","0","0","1","0","12","4","80","82","83","100","100","80","100","20","1000","1","7","5","8","65",NULL,"34","1","7","Seed","50","263","0","0","0","2","1","0","80","0","1,1,2","1,4,5","1,3,3","1,5,5","2,2,2","3","3"
"4","3","1","Mega Venusaur","Mega","3",NULL,"0","1","0","0","0","0","12","4","80","100","123","122","120","80",NULL,"24","1555","6","7","5","8","47",NULL,NULL,"1","7","Seed","50","313","0","0","0","2","1","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10133","10033"
"5","3","2","Gigantamax Venusaur","Gigantamax Form","2",NULL,"0","1","0","0","0","0","12","4","80","82","83","100","100","80",NULL,"240",NULL,"8","7","5","8","65",NULL,"34","1","7","Seed","50","313","0","0","0","2","1","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10363","10195"
"6","4","0","Charmander",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"39","52","43","60","50","65","50","6","85","1","7","8","6","66",NULL,"94","1","14","Lizard","50","62","0","0","0","0","0","1","32","0","3,3,3","1,1,5","1,3,4","1,1,3","2,3,3","4","4"
"7","5","0","Charmeleon",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"58","64","58","80","65","80","65","11","190","1","7","8","6","66",NULL,"94","1","14","Flame","50","142","0","0","0","1","0","1","32","0","3,3,3","2,2,4","1,3,4","1,2,2","2,3,3","5","5"
"8","6","0","Charizard",NULL,NULL,NULL,"1","0","0","0","0","0","10","3","78","84","78","109","85","100","85","17","905","1","7","8","6","66",NULL,"94","1","14","Flame","50","267","0","0","0","3","0","0","32","0","2,3,3","1,3,3","1,2,2","3,4,5","4,5,5","6","6"
"9","6","1","Mega Charizard X","Mega X","3",NULL,"0","1","0","0","0","0","10","16","78","130","111","130","85","100",NULL,"17","1105","6","7","1","6","181",NULL,NULL,"1","14","Flame","50","317","0","0","0","3","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10134","10034"
"10","6","2","Mega Charizard Y","Mega Y","3",NULL,"0","1","0","0","0","0","10","3","78","104","78","159","115","100",NULL,"17","1005","6","7","8","6","70",NULL,NULL,"1","14","Flame","50","317","0","0","0","3","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10135","10035"
