"pkmnSpeciesId","orderNum","name","baseCatchRate","baseEggCycle","generationId","genderRatioId","growthRateId","speciesTypeId1","speciesTypeId2","habitatId","palParkAreaId","IQGroup","bodySize","recruitChance1","recruitChance2","recruitChance3","stage","familySpeciesId","formCount","evolutionCount","preEvolutionCount"
"1","1","Bulbasaur","45","20","1","7","4","1",NULL,"3","2","F","1","-24","169",NULL,"1","1","1","1","0"
"2","2","Ivysaur","45","20","1","7","4","1",NULL,"3","2","F","1","-24","107",NULL,"2","1","1","1","1"
"3","3","Venusaur","45","20","1","7","4","1",NULL,"3","2","F","1","-24","107",NULL,"3","1","3","0","1"
"4","4","Charmander","45","20","1","7","4","2",NULL,"4","2","C","1","-24","82",NULL,"1","4","1","1","0"
"5","5","Charmeleon","45","20","1","7","4","2",NULL,"4","2","C","1","-24","82",NULL,"2","4","1","1","1"
"6","6","Charizard","45","20","1","7","4","2",NULL,"4","2","C","1","-24","64",NULL,"3","4","4","0","1"
"7","7","Squirtle","45","20","1","7","4","3",NULL,"9","4","E","1","-24","82",NULL,"1","7","1","1","0"
"8","8","Wartortle","45","20","1","7","4","3",NULL,"9","4","E","1","-24","82",NULL,"2","7","1","1","1"
"9","9","Blastoise","45","20","1","7","4","3",NULL,"9","4","E","1","-24","64",NULL,"3","7","3","0","1"
"10","10","Caterpie","255","15","1","5","2",NULL,NULL,"2","1","A","1","-24","108",NULL,"1","10","1","1","0"
"11","11","Metapod","120","15","1","5","2",NULL,NULL,"2","1","A","1","-24","108",NULL,"2","10","1","1","1"
"12","12","Butterfree","45","15","1","5","2",NULL,NULL,"2","1","A","1","-24","82","-64","3","10","2","0","1"
"13","13","Weedle","255","15","1","5","2",NULL,NULL,"2","1","A","1","-24","144",NULL,"1","13","1","1","0"
"14","14","Kakuna","120","15","1","5","2",NULL,NULL,"2","1","A","1","-24","108",NULL,"2","13","1","1","1"
"15","15","Beedrill","45","15","1","5","2",NULL,NULL,"2","1","A","1","-24","144",NULL,"3","13","2","0","1"
"16","16","Pidgey","255","15","1","5","4",NULL,NULL,"2","2","D","1","-24","144",NULL,"1","16","1","1","0"
"17","17","Pidgeotto","120","15","1","5","4",NULL,NULL,"2","2","D","1","-24","108",NULL,"2","16","1","1","1"
"18","18","Pidgeot","45","15","1","5","4",NULL,NULL,"2","2","D","1","-24","-22",NULL,"3","16","2","0","1"
